"Title","Authors","Year","Abstract","Link","Cited_By","Top_Domains","Top_Methodologies","Top_Techniques"
"A static method for detecting android malware based on directed API call","Vu Minh M.; Nguyen H.-T.; Le H.V.; Nguyen T.D.; Do X.C.","2025","Purpose: The openness of the Android operating system offers users convenience but also exposes them to a multitude of malicious applications. Consequently, analyzing applications before installation has become a crucial research area in mobile security. Static analysis, known for its accuracy and low cost, is a prominent method within this field. This paper aims to propose an ML/DL-based approach to detect benign and malicious applications in APK format. Design/methodology/approach: The analysi...","10.1108/IJWIS-03-2024-0095","0","Mobile Security","","Stack Analysis; Static Analysis; Logistic Regression; Dynamic Analysis; Gradient Boosting"
"Towards a Malware Family Classification Model Using Static Call Graph Instruction Visualization","Mester A.; Bodó Z.; Vinod P.; Conti M.","2025","This paper offers yet another static analysis method aimed at classifying malware families, by disassembling the executables with Radare2 and traversing the static call graph to train CNNs on instruction-based RGB images. The instruction-based family detection should have the potential to model common behavioral patterns, thus creating a profile for various families and actors. The experiments are carried out on the BODMAS, MalImg, and IBD (internal Bitdefender dataset). Our method’s performance...","10.1007/978-981-96-3531-3_9","0","","","Adware Analysis; Static Analysis; Worm Analysis; Unpacking; Disassembly"
"A hybrid framework for malware determination: generative pre-trained transformer-inspired approach","Ahanger T.A.; Bhatia M.; Alabduljabbar A.; Albanyan A.; Ullah I.","2025","Cyber attacks and malware incidents have surged in prevalence, posing significant risks across various system domains. As a result, the development of automated machine learning techniques for robust malware defense has become increasingly vital. Among the prominent methodologies, two deep learning architectures for malware detection stand out: Generative Pre-trained Transformer 3 (GPT-3) and Stacked Bidirectional Long Short-Term Memory (SBiLSTM). These language models are engineered by parsing ...","10.1007/s10586-024-05034-w","0","Deep Learning Techniques","","Active Learning; Long Short-Term Memory; Pruning Techniques"
"Assessing the impact of packing on static machine learning-based malware detection and classification systems","Gibert D.; Totosis N.; Patsakis C.; Le Q.; Zizzo G.","2025","The proliferation of malware, particularly through the use of packing, presents a significant challenge to static analysis and signature-based malware detection techniques. Applying packing to the original executable code renders extracting meaningful features and signatures challenging. To deal with the increasing amount of malware in the wild, researchers and anti-malware companies started harnessing machine learning capabilities with very promising results. However, little is known about the ...","10.1016/j.cose.2025.104495","1","","","Malware Classification; Active Learning; Static Analysis"
"DLCDroid an android apps analysis framework to analyse the dynamically loaded code","Bhan R.; Pamula R.; Kumar K.S.; Jyotish N.K.; Tripathi P.C.; Faruki P.; Gajrani J.","2025","To combat dynamically loaded code in anti-emulated environments, DLCDroid is an Android app analysis framework. DL-CDroid uses the reflection API to effectively identify information leaks due to dynamically loaded code within malicious apps, incorporating static and dynamic analysis techniques. The Dynamically Loaded Code (DLC) technique employs Java features to allow Android apps to dynamically expand their functionality at runtime. Unfortunately, malicious app developers often exploit DLC tech...","10.1038/s41598-025-88003-6","0","Application Security","","P2P Analysis; Heap Analysis; Static Analysis; API Hooking; Dynamic Analysis"
"Feasibility Study for Supporting Static Malware Analysis Using LLM","Fujii S.; Yamagishi R.","2025","Large language models (LLMs) are becoming more advanced and widespread and have shown their applicability to various domains, including cybersecurity. Static malware analysis is one of the most important tasks in cybersecurity; however, it is time-consuming and requires a high level of expertise. Therefore, we conducted a demonstration experiment focusing on whether an LLM can be used to support static analysis. First, we evaluated the ability of the LLM to explain malware functionality. The res...","10.1007/978-3-031-82362-6_1","0","","","Stack Analysis; Adware Analysis; Static Analysis; Worm Analysis"
"Hybrid feature extraction and integrated deep learning for cloud-based malware detection","Nguyen P.S.; Huy T.N.; Tuan T.A.; Trung P.D.; Long H.V.","2025","The escalating prevalence of malware necessitates a proactive and vigilant approach to its detection and mitigation. The ramifications of a successful malware attack on cloud services can be severe, underscoring the critical importance of effective malware detection mechanisms in cloud environments. To address this pressing need, we propose a comprehensive methodology for creating a novel cloud-based malware dataset, namely the CMD_2024 dataset. This dataset integrates static and dynamic attribu...","10.1016/j.cose.2024.104233","11","Cloud Services","","Stack Analysis; Feature Extraction; Static Analysis; Dynamic Analysis; IRC Analysis"
"A cross-architecture malware detection approach based on intermediate representation","Greco C.; Ianni M.","2025","Detecting malware across diverse architectures and evasion techniques has become a critical challenge as modern malware increasingly targets non-traditional platforms such as IoT devices. Traditional signature-based approaches, which rely on architecture-specific bytecode patterns, often fail when malware is recompiled for different platforms or obfuscated to evade detection. In this paper, we propose a novel framework for cross-architecture, signature-based malware detection. Our approach lever...","10.1016/j.jisa.2025.104117","0","","","Stack Analysis; Static Analysis; IRC Analysis; Orientation Detection; Taint Analysis"
"SLIFER: Investigating performance and robustness of malware detection pipelines","Ponte A.; Trizna D.; Demetrio L.; Biggio B.; Ogbu I.T.; Roli F.","2025","As a result of decades of research, Windows malware detection is approached through a plethora of techniques. However, there is an ongoing mismatch between academia – which pursues an optimal performances in terms of detection rate and low false alarms – and the requirements of real-world scenarios. In particular, academia focuses on combining static and dynamic analysis within a single or ensemble of models, falling into several pitfalls like (i) firing dynamic analysis without considering the ...","10.1016/j.cose.2024.104264","2","","","Adversarial Examples; Dynamic Analysis; IRC Analysis; WMI Analysis"
"HDL-IDS: Integrating Feature Selection Methods with Hybrid Deep Learning for Improved Intrusion Detection Systems","Obaid M.M.; Saleh M.H.","2025","Intrusion detection systems (IDS) rely heavily on machine learning techniques to automatically identify and categorize cyber assaults at both the network and host levels. But there are a lot of obstacles to overcome because malicious attacks are dynamic and happen frequently, necessitating a solution that can scale. Cybersecurity researchers can choose from a number of publicly available malware databases. Publicly available malware datasets will be regularly updated and measured to keep up with...","10.1063/5.0261847","0","Deep Learning Techniques","","Mutual Information; Active Learning; Pruning Techniques"
"Hybrid Multilevel Detection of Mobile Devices Malware Under Concept Drift","Augello A.; De Paola A.; Lo Re G.","2025","Malwares are a major threat to the security of mobile devices, and Machine Learning (ML) is a widespread approach to automatically detect them. However, running ML analysis pipelines can be excessively burdensome for energy-constrained mobile devices. On the other hand, completely off-loading all the analysis to a remote server can introduce unacceptable communication overheads and delays in the detection process. In this paper, we propose a multilevel approach for malware detection on mobile de...","10.1007/s10922-025-09906-3","2","Mobile Security","","Active Learning; Edge Detection"
"Semantic lossless encoded image representation for malware classification","Yu Y.; Cai B.; Aziz K.; Wang X.; Luo J.; Iqbal M.S.; Chakrabarti P.; Chakrabarti T.","2025","Combining artificial intelligence with static analysis is an effective method for classifying malicious code. Due to the development of anti-analysis techniques, malicious code commonly employs obfuscation methods like packing, which result in garbled assembly code and the loss of original semantics. Consequently, existing pre-trained code language models are rendered ineffective in such scenarios. Current research addresses this issue by converting malicious bytecode into grayscale images and e...","10.1038/s41598-025-88130-0","1","Artificial Intelligence Ethics","","Malware Classification; Feature Extraction; Static Analysis; IRC Analysis; Taint Analysis"
"MIDALF—multimodal image and audio late fusion for malware detection","Ismail S.J.I.; Hendrawan; Rahardjo B.; Juhana T.; Musashi Y.","2025","Malware detection remains a critical challenge in cybersecurity due to the rapid evolution of sophisticated malware and adversarial threats. Traditional detection systems struggle to adapt to dynamic malware behavior and are particularly vulnerable to adversarial attacks, where subtle modifications evade detection mechanisms. To address these limitations, MIDALF—a novel multimodal image and audio late fusion approach for malware detection is proposed. Unlike previous works that rely on single-mo...","10.1186/s13635-025-00188-5","1","","","Self-Supervised Learning; Late Fusion; Semi-Supervised Learning; Wilcoxon Signed-Rank Test; Convolutional Neural Networks"
"Hybrid deep learning model for accurate and efficient android malware detection using DBN-GRU","Kauser H.S.k.; Anu M.V.","2025","The rapid growth of Android applications has led to an increase in security threats, while traditional detection methods struggle to combat advanced malware, such as polymorphic and metamorphic variants. To address these challenges, this study introduces a hybrid deep learning model (DBN-GRU) that integrates Deep Belief Networks (DBN) for static analysis and Gated Recurrent Units (GRU) for dynamic behavior modeling to enhance malware detection accuracy and efficiency. The model extracts static f...","10.1371/journal.pone.0310230","1","","","Malware Classification; Stack Analysis; Feature Extraction; Static Analysis; Deep Belief Networks"
"Ransomware detection with CNN and deep learning based on multiple features of portable executable files","Yang C.-C.; Hsu J.-M.; Leu J.-S.; Hsieh W.-B.","2025","Due to the epidemic, many industries have become increasingly reliant on computers to perform essential tasks. However, ransomware attacks pose a significant threat, with potentially devastating consequences. To mitigate these risks, many researchers have proposed large number of methods to distinguish between benign programs and ransomware, but ransomware continues to evolve, rendering these methods gradually ineffective and leaving the virus attacks unresolved. In this study, we collected 1200...","10.1007/s11227-025-07151-8","0","","","Stack Analysis; Static Analysis; IRC Analysis; Taint Analysis"
"Enhancing Malware Detection via RGB Assembly Visualization and Hybrid Deep Learning Models","Eroğlu Demirkan E.; Aydos M.","2025","Malicious software presents significant challenges in cybersecurity, leveraging rapidly evolving technologies to bypass traditional defense mechanisms. This research introduces a novel image-based malware classification framework that uses hybrid-model Convolutional Neural Networks to process RGB images generated from assembly code. We present MalevisAsm, an enriched dataset that merges MaleVis malware samples with benign files, and propose a hybrid deep learning model that combines EfficientNet...","10.3390/app15137163","0","","","Malware Classification; Feature Extraction; Convolutional Neural Networks"
"An Android Malware Detection Method Using Frequent Graph Convolutional Neural Networks","Zhao Y.; Sun S.; Huang X.; Zhang J.","2025","As Android holds a commanding position in the smartphone operating system market, the proliferation of malicious applications on this platform has also escalated rapidly. This surge in diverse malware variants has compelled researchers to explore innovative techniques leveraging machine learning. Given the significance of static analysis in network security, and the proven effectiveness of Dalvik opcode as a precise representation of malware, many studies have adopted the use of Dalvik opcode in...","10.3390/electronics14061151","2","Network Security","","Static Analysis; Convolutional Neural Networks"
"A malware visualization method based on transition probability matrix suitable for imbalanced family classification","Wu W.; Peng H.; Xu C.; Liu Y.; Li L.","2025","Information technology brings us not only marvelous convenience and productivity, but also potential insecure factor, which may pose threats to our properties, data or even reputation. Malicious software is exactly an accomplice of such attacks. Fundamentally, the key step to deal with malicious software is to accurately identify and classify it. Although traditional static and dynamic analysis approaches could accomplish this task to some extent, they have intrinsic defects in terms of variant ...","10.1007/s10489-024-05911-2","1","","","Malware Classification; Dynamic Analysis"
"From Data to Defense: How Ontology Fuels AI in Cyber Threat Detection","Dash S.; Seker H.; Shahpasand M.","2025","In today’s evolving digital landscape, cybersecurity threats [1] have become increasingly complex and persistent, with attacks like data breaches and ransomware exploiting vulnerabilities in digital systems. As organizations handle growing amounts of data, robust defense strategies depend on comprehensive datasets for detecting and preventing threats. This paper addresses data scarcity in cybersecurity by proposing the development of a dataset ontology tailored to the domain. In data science, on...","10.1145/3704137.3704176","0","","",""
"MINDPRES: A Hybrid Prototype System for Comprehensive Data Protection in the User Layer of the Mobile Cloud","Ogwara N.O.; Petrova K.; Yang M.L.; MacDonell S.G.","2025","Mobile cloud computing (MCC) is a technological paradigm for providing services to mobile device (MD) users. A compromised MD may cause harm to both its user and to other MCC customers. This study explores the use of machine learning (ML) models and stochastic methods for the protection of Android MDs connected to the mobile cloud. To test the validity and feasibility of the proposed models and methods, the study adopted a proof-of-concept approach and developed a prototype system named MINDPRES...","10.3390/s25030670","0","Risk Assessment","","Stack Analysis; Active Learning; Static Analysis; IRC Analysis; Taint Analysis"
"Mitigating DDoS attacks on the internet of things using federated learning","Shirvani G.; Ghasemshirazi S.; Abdollahi Azgomi M.","2025","The rapid growth of the IoT has transformed connectivity between physical devices and the digital world, but it has also increased the vulnerability of IoT networks to DDoS attacks. Machine learning algorithms effectively detect DDoS attacks by learning from evolving patterns, but traditional ML approaches often fall short in IoT ecosystems, mainly due to privacy and security concerns. Traditional distributed ML algorithms require transmitting large amounts of data to a central system for proces...","10.1007/s12083-025-02001-z","0","","","Active Learning; Autoencoders; Anomaly Detection; Federated Learning"
"Identifying runtime libraries in statically linked linux binaries","Carrillo-Mondéjar J.; Rodríguez R.J.","2025","Vulnerabilities in unpatched applications can originate from third-party dependencies in statically linked applications, as they must be relinked each time to take advantage of libraries that have been updated to fix any vulnerability. Despite this, malware binaries are often statically linked to ensure they run on target platforms and to complicate malware analysis. In this sense, identification of libraries in malware analysis becomes crucial to help filter out those library functions and focu...","10.1016/j.future.2024.107602","1","Runtime Library Detection","","Worm Analysis; K-Nearest Neighbors"
"TDBAMLA: Temporal and dynamic behavior analysis in Android malware using LSTM and attention mechanisms","Misalkar H.D.; Harshavardhanan P.","2025","The increasing ubiquity of Android devices has precipitated a concomitant surge in sophisticated malware attacks, posing critical challenges to cybersecurity infrastructures worldwide. Existing models have achieved significant strides in malware detection but often suffer from high false-positive rates, lower recall, and computational delays, thus demanding a more efficient and accurate system. Current techniques primarily rely on static features and simplistic learning models, leading to inadeq...","10.1016/j.csi.2024.103920","1","","","Virus Analysis; Long Short-Term Memory; Memory Networks; Worm Analysis; Reinforcement Learning"
"Practical clean-label backdoor attack against static malware detection","Zhan D.; Xu K.; Liu X.; Han T.; Pan Z.; Guo S.","2025","Deep learning models have demonstrated strong performance in detecting malware. However, their reliance on updates from third-party crowdsourced threat sources introduces vulnerabilities that can be exploited for backdoor attacks. Backdoored models exhibit normal behavior on clean samples but can be triggered to output specific target categories when a test sample contains a predefined trigger pattern. This makes backdoor attacks challenging to detect and poses significant security risks in malw...","10.1016/j.cose.2024.104280","1","","","DLL Injection"
"Using Machine Learning to Detect Vault (Anti-Forensic) Apps","Johnstone M.N.; Yang W.; Ahmed M.","2025","Content hiding, or vault applications (apps), are designed with a secondary, often concealed purpose, such as encrypting and storing files. While these apps may serve legitimate functions, they unequivocally present significant challenges for law enforcement. Conventional methods for tackling this issue, whether static or dynamic, prove inadequate when devices—typically smartphones—cannot be modified. Additionally, these methods frequently require prior knowledge of which apps are classified as ...","10.3390/fi17050186","0","","","Active Learning"
"A new method for tuning the CNN pre-trained models as a feature extractor for malware detection","Bakır H.","2025","Despite significant advancements in Android malware detection, current approaches face notable challenges, particularly in handling obfuscation techniques, achieving high detection accuracy, and maintaining computational efficiency. Traditional static and dynamic analysis methods often struggle with evolving malware tactics and providing lightweight execution, which necessitates models that can dynamically adapt to these challenges. To address these needs, this study presents TuneDroid, a novel ...","10.1007/s10044-024-01381-x","2","","","Feature Extraction; Convolutional Neural Networks; Bayesian Optimization; Dynamic Analysis; Deobfuscation"
"Unified hybrid quantum classical neural network framework for detecting distributed denial of service and Android mobile malware attacks","Sridevi S.; Indira B.; Geetha S.; Balachandran S.; Kar G.; Kharbanda S.","2025","The rise of advanced networking and mobile technologies has improved flexibility in Software Defined Networking (SDN) management and mobile ecosystems but it has also introduced vulnerabilities like Distributed Denial of Service (DDoS) attacks and Android malware. In this research, we propose a Hybrid Quantum Classical Neural Network (HQCNN) framework that operates with a Dressed Quantum Circuit (DQC) to achieve efficient detection and classification of threats. The input pipeline of the HQCNN i...","10.1140/epjqt/s40507-025-00380-z","0","","","Feature Extraction; Linear Discriminant Analysis"
"GEAAD: generating evasive adversarial attacks against android malware defense","Ahmad N.; Saleem Rana A.; Jalil Hadi H.; Bashir Hussain F.; Chakrabarti P.; Alshara M.A.; Chakrabarti T.","2025","Owing to the proliferation of mobile devices, Google’s Android operating system has become a dominant force in global communication. However, its popularity makes it a prime target for cyberattacks. Effective malware detection systems are crucial for combating these escalating threats, particularly amid the evolving use of adversarial examples to evade detection. These systems employ static and dynamic analysis methodologies with machine learning, particularly Generative Adversarial Networks (GA...","10.1038/s41598-025-96392-x","0","Mobile Security","","Adversarial Examples; Generative Adversarial Networks; Dynamic Analysis"
"GHR-Optimizer: An ensemble-based feature selection approach for classifying android malware","Bhat P.; Sharma A.K.; Sikka G.","2025","This study delves into advanced feature selection methodologies for enhancing Android malware classification. GHR-Optimizer is introduced as an innovative feature selection approach combining Grey Wolf Optimization, Hill Climbing, and Random Forest Classifier method. The approach selects features from a hybrid dataset and is evaluated across machine learning, deep learning, and ensemble frameworks. A detailed comparative analysis is conducted, contrasting GHR-Optimizer with static and dynamic fe...","10.1016/j.jisa.2025.104165","0","","","Malware Classification; Active Learning; Ensemble Methods"
"Adversarial Binaries: AI-guided Instrumentation Methods for Malware Detection Evasion","Koch L.; Begoli E.","2025","Adversarial binaries are executable files that have been altered without loss of function by an AI agent in order to deceive malware detection systems. Progress in this emergent vein of research has been constrained by the complex and rigid structure of executable files. Although prior work has demonstrated that these binaries deceive a variety of malware classification models which rely on disparate feature sets, a consensus as to the best approach has not been reached, either in terms of the o...","10.1145/3706573","1","","","Malware Classification; Image Classification Models"
"MOAT: Securely Mitigating Rowhammer with Per-Row Activation Counters","Qureshi M.; Qazi S.","2025","Rowhammer has worsened over the last decade. Existing in-DRAM solutions, such as TRR, were broken with simple patterns. In response, the DDR5 specifications have been extended to support Per-Row Activation Counting (PRAC), with counters inlined with each row, and ALERT-Back-Off (ABO) to stop the memory controller if the DRAM needs more time to mitigate. Although PRAC+ABO represents a strong advance in Rowhammer protection, they are just a framework, and the actual security is dependent on the im...","10.1145/3669940.3707278","4","","",""
"Elevating Mobile Security: An Ensemble Approach for Enhanced Malware Detection with M-iForest","Abualghanam O.; Alazzam H.; Qatawneh M.; Alazab M.; Al Sharaiah M.","2025","The rapid advancement of technologies and the widespread use of smartphones have given rise to new malware threats. However, the sophisticated techniques adopted by malware creators have significantly diminished the effectiveness of traditional security measures, including signature-based detection and antivirus tools solutions ineffective. To address this issue, current malware detection methods rely on extracting malware features and analyzing them using static, dynamic, or hybrid techniques. ...","10.3991/ijim.v19i10.51319","0","Mobile Security","","Signature-based Detection"
"Multimodal malware classification using proposed ensemble deep neural network framework","Nazim S.; Alam M.M.; Rizvi S.; Mustapha J.C.; Hussain S.S.; Su’ud M.M.","2025","In the contemporary technological world, fortifying cybersecurity defense against dynamic threat landscapes is imperative. Malware detectors play a critical role in this endeavor, utilizing various techniques such as statistical analysis, static and dynamic analysis, and machine learning (ML) to compare signatures and identify threats. Deep learning (DL) aids in accurately classifying complex malware features. The cross-domain research in data fusion strives to integrate information from multipl...","10.1038/s41598-025-96203-3","0","Statistical Analysis","","Malware Classification; Late Fusion; Email Analysis; Statistical Analysis; Dynamic Analysis"
"BERT ensemble based MBR framework for android malware detection","Alsubaei F.S.; Almazroi A.A.; Atwa W.S.; Almazroi A.A.; Ayub N.; Jhanjhi N.Z.","2025","Predicting attacks in Android Malware (AM) devices within recommender systems-based IoT is challenging. A novel framework is presented in this study for AM Detection (AMD) using BERT Ensemble (MBR) and MobileNetV2. The MBR model uses a threat analysis technique to assess Android apps by using a subset of 100 permissions from 329 Android application-based permissions, together with a refined feature set. Using MCADS, DroidRL, CNN, FAGnet, GAN, and FEDriod, the MBR model performs exceptionally wel...","10.1038/s41598-025-98596-7","1","","","Heap Analysis; Ensemble Methods"
"STATOS: A portable tool for secure malware analysis and sample acquisition in low resource environments","Cameron A.; Alam A.; Anjum N.; Khan J.A.; Mylonas A.","2025","Malware poses a significant security threat to organisations worldwide, particularly in environments with limited resources. Static analysis has emerged as a crucial technique for gaining insights into malware, but it often requires specialised hardware and software, which can be a barrier for organisations facing financial or supply constraints. To address these challenges, this study presents a Static-Analysis Operating System (StatOS), a portable Linux derivative operating system designed for...","10.1016/j.array.2025.100391","1","User Feedback; Risk Assessment","","Stack Analysis; Static Analysis; Worm Analysis; IRC Analysis; Taint Analysis"
"A Comparative Study on the Accuracy and the Speed of Static and Dynamic Program Classifiers","da Silva A.F.; Castrillon J.; Pereira F.M.Q.","2025","Classifying programs based on their tasks is essential in fields such as plagiarism detection, malware analysis, and software auditing. Traditionally, two classification approaches exist: static classifiers analyze program syntax, while dynamic classifiers observe their execution. Although dynamic analysis is regarded as more precise, it is often considered impractical due to high overhead, leading the research community to largely dismiss it. In this paper, we revisit this perception by compari...","10.1145/3708493.3712680","0","","","Adware Analysis; Static Analysis; Worm Analysis; Dynamic Analysis; WMI Analysis"
"An Improved Static Analysis Approach for Malware Detection by Optimizing Feature Extraction Combining Different ML Algorithms","Barzev I.; Borissova D.","2025","One of the essential factors in cyber defense is malware analysis. Attackers use various social engineering techniques along with one or more zero-day vulnerabilities to deploy malicious software. In this regard, various malware detection algorithms are being developed to deal with this type of threat faced not only by individual users but also by organizations/nations. Low classification accuracy, computational complexity, and resource usage are among the factors influencing malware evaluation ...","10.1007/978-3-031-82153-0_8","0","","","Stack Analysis; Feature Extraction; Static Analysis; IRC Analysis; Taint Analysis"
"FETA: A systematic and efficient approach for feature engineering on anti-static and anti-dynamic malware analysis","Rabadi D.; Loo J.Y.; Narayanan A.; Wang Y.; Teo S.G.; Truong-Huu T.","2025","Malware detection is a critical but very challenging task in cybersecurity. The eternal competition between malware authors (cyber attackers) and security analysts (detectors) is a never-ending game in which malware evolves rapidly and becomes more sophisticated as cyber attackers constantly evolve their tactics to evade detection. Such competition raises the demand for new automated malware detection techniques to keep pace with malware evolution and address sophisticated malware. This paper pr...","10.1016/j.jisa.2025.104104","0","","","Adware Analysis; Worm Analysis; Dynamic Analysis; Feature Engineering; IRC Analysis"
"Short Paper: Machine Learning-Based Secure Malware Detection Using Features from Binary Executable Headers","Bulut I.; Rúa E.A.","2025","As the number of intelligent systems has dramatically increased, malware has become increasingly harmful. Consequently, detecting previously unknown malware swiftly has emerged as a critical issue in cybersecurity, aiming to prevent these threats from becoming widespread hazards that harm users and systems. To address this challenge, machine learning methods have been employed to rapidly detect and classify malware. These methods can be either dynamic or static analysis. Dynamic analysis allows ...","10.1007/978-3-031-82362-6_12","0","","","Stack Analysis; Feature Extraction; Active Learning; Static Analysis; Dynamic Analysis"
"Android malware detection based on feature fusion and the improved stacking ensemble model","Zhang J.; Xu Z.; Xiong Z.; Cai L.","2025","The widespread adoption of the Android system has sharply increased malicious Android applications, posing multifaceted threats to users. Given the problems of the single feature category and high computational overhead in current Android malware detection methods, this paper proposes a detection method based on feature fusion and an improved stacking integration model. First, seven types of numerical features and function call graphs (FCGs) are extracted from Android installation package files....","10.1007/s11416-025-00546-4","0","Deep Learning Techniques","","Pruning Techniques"
"FEdroid: a lightweight and interpretable machine learning-based android malware detection system","Huang H.; Huang W.; Zhou Y.; Luo W.; Wang Y.","2025","Android operating system, renowned for its open-source nature and flexibility, holds the largest global market share, yet faces significant security challenges, particularly from malware threats. Existing studies often rely on complex feature engineering for malware detection, leading to cumbersome methods prone to noise and lacking effective feature selection mechanisms. Some deep learning approaches also suffer from low efficiency. This paper introduces a lightweight and interpretable Android ...","10.1007/s10586-024-04865-x","1","","","Active Learning; Static Analysis; Feature Engineering"
"Dynamic malware detection based on supervised contrastive learning","Yang S.; Yang Y.; Zhao D.; Xu L.; Li X.; Yu F.; Hu J.","2025","Application Programming Interface (API) calls record interactions between a program and the operating system or other programs during runtime. Due to this precise tracking capability, API call information is extensively utilized in malware detection. However, most approaches only focus on the API names or simply combine them with API parameters, leading to insufficient semantic information extraction. Additionally, with the continuous development of network technology, the behavioral feature dif...","10.1016/j.compeleceng.2025.110108","1","Deep Learning Techniques","","Contrastive Learning; Active Learning; Static Analysis; Dynamic Analysis; Pruning Techniques"
