"Category","Term","First_Paper_Title","First_Paper_Link","First_Paper_Year","First_Paper_Abstract","First_Paper_Authors","First_Paper_Citations"
"Domain","Complexity Theory","Evolving Deep Neural Networks architectures for Android malware classification","10.1109/CEC.2017.7969501","2017","Deep Neural Networks (DNN) have become a powerful, widely used, and successful mechanism to solve problems of different nature and varied complexity. Their ability to build models adapted to complex non-linear problems, have made them a technique widely applied and studied. One of the fields where this technique is currently being applied is in the malware classification problem. The malware classification problem has an increasing complexity, due to the growing number of features needed to represent the behaviour of the application as exhaustively as possible. Although other classification methods, as those based on SVM, have been traditionally used, the DNN pose a promising tool in this field. However, the parameters and architecture setting of these DNNs present a serious restriction, due to the necessary time to find the most appropriate configuration. This paper proposes a new genetic algorithm designed to evolve the parameters, and the architecture, of a DNN with the goal of maximising the malware classification accuracy, and minimizing the complexity of the model. This model is tested against a dataset of malware samples, which are represented using a set of static features, so the DNN has been trained to perform a static malware classification task. The experiments carried out using this dataset show that the genetic algorithm is able to select the parameters and the DNN architecture settings, achieving a 91% accuracy. © 2017 IEEE.","Martin A.; Fuentes-Hurtado F.; Naranjo V.; Camacho D.","34"
"Domain","Email Security","A pragmatic android malware detection procedure","10.1016/j.cose.2017.07.013","2017","The academic security research community has studied the Android malware detection problem extensively. Machine learning methods proposed in previous work typically achieve high reported detection performance on fixed datasets. Some of them also report reasonably fast prediction times. However, most of them are not suitable for real-world deployment because requirements for malware detection go beyond these figures of merit. In this paper, we introduce several important requirements for deploying Android malware detection systems in the real world. One such requirement is that candidate approaches should be tested against a stream of continuously evolving data. Such streams of evolving data represent the continuous flow of unknown file objects received for categorization, and provide more reliable and realistic estimate of detection performance once deployed in a production environment. As a case study we designed and implemented an ensemble approach for automatic Android malware detection that meets the real-world requirements we identified. Atomic Naive Bayes classifiers used as inputs for the Support Vector Machine ensemble are based on different APK feature categories, providing fast speed and additional reliability against the attackers due to diversification. Our case study with several malware families showed that different families are detected by different atomic classifiers. To the best of our knowledge, our work contains the first publicly available results generated against evolving data streams of nearly 1 million samples with a model trained over a massive sample set of 120,000 samples. © 2017 Elsevier Ltd","Palumbo P.; Sayfullina L.; Komashinskiy D.; Eirola E.; Karhunen J.","35"
"Domain","Intellectual Property Protection","Protecting software through obfuscation: can it keep pace with progress in code analysis?","10.1145/2886012","2017","Software obfuscation has always been a controversially discussed research area. While theoretical results indicate that provably secure obfuscation in general is impossible, its widespread application inmalware and commercial software shows that it is nevertheless popular in practice. Still, it remains largely unexplored to what extent today's software obfuscations keep up with state-of-The-Art code analysis and where we stand in the arms race between software developers and code analysts. The main goal of this survey is to analyze the effectiveness of different classes of software obfuscation against the continuously improving deobfuscation techniques and off-The-shelf code analysis tools. The answer very much depends on the goals of the analyst and the available resources. On the one hand, many forms of lightweight static analysis have difficulties with even basic obfuscation schemes, which explains the unbroken popularity of obfuscation among malware writers. On the other hand, more expensive analysis techniques, in particular when used interactively by a human analyst, can easily defeat many obfuscations. As a result, software obfuscation for the purpose of intellectual property protection remains highly challenging. ©2016 ACM.","Schrittwieser S.; Katzenbeisser S.; Kinder J.; Merzdovnik G.; Weippl E.","137"
"Domain","Continuous Monitoring","Formal model of process functioning in the operating system","10.15622/sp.51.4","2017","The article presents a formal model of the functioning of the process in the operating system, created on the basis of a subject-object approach to the separation of the main elements of the operating system. A feature of the presented model is a high-level abstraction of the interaction between the operating system processes and resources, which allows applying the obtained results to a wide range of similar systems. The use of this model is necessary for carrying out the transition from the real world object (process) to a formal model to take into account the significant properties of the behavior of the process both during the static analysis phase of a binary executable file and the dynamic phase of monitoring its implementation. The system of safe execution of code is an extension of the composition of such approaches to the detection of malicious software as the application of the formal verification method «Model checking» and the use of machine safety to monitor the implementation of the studied program. This system allows using in corporate information and computer networks only such software, reliability of which is confirmed by a formal mathematical proof and continuous monitoring of its execution.","Kozachok A.V.; Kochetkov E.V.","1"
"Domain","Security Metrics","Using ontologies to perform threat analysis and develop defensive strategies for mobile security","10.1007/s10799-014-0213-1","2017","Existing studies on the detection of mobile malware have focused mainly on static analyses performed to examine the code-structure signature of viruses, rather than the dynamic behavioral aspects. By contrast, the unidentified behavior of new mobile viruses using the self-modification, polymorphic, and mutation techniques for variants have largely been ignored. The problem of precision regarding malware variant detection has become one of the key concerns in mobile security. Accordingly, the present study proposed a threat risk analysis model for mobile viruses, using a heuristic approach incorporating both malware behavior analysis and code analysis to generate a virus behavior ontology associated with the Protégé platform. The proposed model can not only explicitly identify an attack profile in accordance with structural signature of mobile viruses, but also overcome the uncertainty regarding the probability of an attack being successful. This model is able to achieve this by extending frequent episode rules to investigate the attack profile of a given malware, using specific event sequences associated with the sandbox technique for mobile applications (apps) and hosts. For probabilistic analysis, defense evaluation metrics for each node were used to simulate the results of an attack. The simulations focused specifically on the attack profile of a botnet to assess the threat risk. The validity of the proposed approach was demonstrated numerically by using two malware cyber-attack examples. Overall, the results presented in this paper prove that the proposed scheme offers an effective countermeasure, evaluated using a set of security metrics, for mitigating network threats by considering the interaction between the attack profiles and defense needs. © 2015, Springer Science+Business Media New York.","Wang P.; Chao K.-M.; Lo C.-C.; Wang Y.-S.","14"
"Domain","Publication and Dissemination","HTChecker: Detecting hardware trojans based on static characteristics","10.1109/ISCAS.2017.8050674","2017","Hardware Trojan detection, which is very important to the chip security, has drawn more and more attention in both academia and industry. In this paper, we propose a novel hardware Trojan detection scheme named HTChecker, which detects hardware Trojans with subgraph isomorphism based on static characteristics of Trojans. Unlike other schemes, HTChecker pay more attention to preventing the replication and dissemination of hardware Trojans. We evaluate the HTChecker with random mixtures of Trojans and circuits from ITC'99 benchmarks and OpenCores. Experiments show that HTChecker can detect Trojans quickly and accurately without Golden Chip and it can cope with actual VLSI designs with large scale efficiently. © 2017 IEEE.","Shen H.; Zhao Y.","4"
"Domain","Critical Infrastructure Domain","A new static-based framework for ransomware detection","10.1109/DASC/PiCom/DataCom/CyberSciTec.2018.00124","2018","Recently, ransomware attacks are on the rise hitting critical infrastructures and organizations globally. Ransomware uses advanced encryption techniques to encrypt important files on the targeted computer, then it requests payment to decrypt the encrypted files again. Therefore, the detection and prevention of ransomware attacks represent major challenges for security researchers. This research proposes a novel static-based rules ransomware detection framework. The decision rules of the proposed framework are based on static features extracted from the ransomware files. When scanned file reached rules threshold, the framework evaluates triggered rules through logical operations to assign a score for each file. Every score represents a confidence level whether this file is ransomware or not from critical to low. The proposed framework has proven that it can detect new families based on rules and logical operations with high accuracy and detection ratio. © 2018 IEEE.","Medhat M.; Gaber S.; Abdelbaki N.","37"
"Domain","Incident Response","Introduction to dynamic malware analysis for cyber intelligence and forensics","","2018","Day by day cyber threats are increasing and one of the common aspects of all attacks has a commonality, which is a malware. Almost every systems, networks, mobile phones breaches has Involvement of Trojans, rootkits, backdoors, spywares, et cetera. The network security team of certain firm where an attack has happened cannot respond to zero day attack or day one attack, and hence requires a special incident response team or Malware analysts. The report incident by Verizon data Breach of 2015 says, about 80-90% of malwares are unique to an organization. The Verizon information break episode reaction finished up this year around 40,000 occurrences, including 1,935 affirmed information ruptures. No system is 100% safe, but understanding the threat we will face will help us to improve our security. Therefore in order to understand a malware we need to study its behaviour, and that will be our dynamic analysis of a malware. © IAEME Publication","Vara Prasad P.V.; Sowmya N.; Rajasekhar Reddy K.; Jayant Bala P.","5"
"Domain","Data Visualization","Use of Data Visualisation for Zero-Day Malware Detection","10.1155/2018/1728303","2018","With the explosion of Internet of Things (IoT) worldwide, there is an increasing threat from malicious software (malware) attackers that calls for efficient monitoring of vulnerable systems. Large amounts of data collected from computer networks, servers, and mobile devices need to be analysed for malware proliferation. Effective analysis methods are needed to match with the scale and complexity of such a data-intensive environment. In today's Big Data contexts, visualisation techniques can support malware analysts going through the time-consuming process of analysing suspicious activities thoroughly. This paper takes a step further in contributing to the evolving realm of visualisation techniques used in the information security field. The aim of the paper is twofold: (1) to provide a comprehensive overview of the existing visualisation techniques for detecting suspicious behaviour of systems and (2) to design a novel visualisation using similarity matrix method for establishing malware classification accurately. The prime motivation of our proposal is to identify obfuscated malware using visualisation of the extended x86 IA-32 (opcode) similarity patterns, which are hard to detect with the existing approaches. Our approach uses hybrid models wherein static and dynamic malware analysis techniques are combined effectively along with visualisation of similarity matrices in order to detect and classify zero-day malware efficiently. Overall, the high accuracy of classification achieved with our proposed method can be visually observed since different malware families exhibit significantly dissimilar behaviour patterns. © 2018 Sitalakshmi Venkatraman and Mamoun Alazab.","Venkatraman S.; Alazab M.","130"
"Domain","NIST Cybersecurity Framework","CEUR Workshop Proceedings","","2018","The proceedings contain 15 papers. The topics discussed include: Dr Cookie and Mr Token web session implementations and how to live with them; performance of Botnet detection by neural networks in software-defined networks; extending domain name monitoring. identifying potentially malicious domains using hash signatures of DOM elements; data leakage in Java applets with exception mechanism; PBFT vs proof-of-authority: applying the CAP theorem to permissioned blockchain; malware detection through low-level features and stacked denoising autoencoders; preventing ransomware attacks through file system filter drivers; understanding the Twitter user networks of viruses and ransomware attacks; static analysis for GDPR compliance; a distributed cybersecurity framework for heterogeneous environments; cross-cloud management of sensitive data via blockchain: a payslip calculation use case; visualizing Bitcoin flows of ransomware: WannaCry one week later; MAD-IOS: dynamic app vulnerability analysis in non-jail-broken devices; enforcing security in IoT and home networks; and firewall management with firewall synthesizer.","","0"
"Domain","Disaster Recovery","A survey on technical threat intelligence in the age of sophisticated cyber attacks","10.1016/j.cose.2017.09.001","2018","Today's cyber attacks require a new line of security defenses. The static approach of traditional security based on heuristic and signature does not match the dynamic nature of new generation of threats that are known to be evasive, resilient and complex. Organizations need to gather and share real-time cyber threat information and to transform it to threat intelligence in order to prevent attacks or at least execute timely disaster recovery. Threat Intelligence (TI) means evidence-based knowledge representing threats that can inform decisions. There is a general awareness for the need of threat intelligence while vendors today are rushing to provide a diverse array of threat intelligence products, specifically focusing on Technical Threat Intelligence (TTI). Although threat intelligence is being increasingly adopted, there is little consensus on what it actually is, or how to use it. Without any real understanding of this need, organizations risk investing large amounts of time and money without solving existing security problems. Our paper aims to classify and make distinction among existing threat intelligence types. We focus particularly on the TTI issues, emerging researches, trends and standards. Our paper also explains why there is a reluctance among organizations to share threat intelligence. We provide sharing strategies based on trust and anonymity, so participating organizations can do away with the risks of business leak. We also show in this paper why having a standardized representation of threat information can improve the quality of TTI, thus providing better automated analytics solutions on large volumes of TTI which are often non-uniform and redundant. Finally, we evaluate most popular open source/free threat intelligence tools, and compare their features with those of a new AlliaCERT TI tool. © 2017 Elsevier Ltd","Tounsi W.; Rais H.","349"
"Domain","Cyber Threat Intelligence","Research design and consulting through seminars in proactive artificial intelligence for cybersecurity (SPAIC)","","2019","The authors have designed a platform for research and consulting through a high-level collaborative seminar series to promote networking in proactive artificial intelligence (AI) for cybersecurity (SPAIC). The primary objective is to cover a wide range of techniques in cyber threat intelligence gathering from various social media to dark-net and deep-net, hacker forum discussions, and malicious hacking. The secondary objective is to bring together researchers and consultants in the field to come up with automated and advanced methods of attack vector recognition and isolation using AI and machine learning (ML). In most cases, the hidden nature of security issues makes it hard for fixes in real time. Advanced AI techniques have proven to be superior to the current static methods in cyber threat detection. There have been numerous recent advances in the field of AI, especially in algorithmic approaches such as Speech and Signal Processing, Machine and Deep Learning, Computer Vision, Robotics, Data Mining, Augmented/Virtual Reality, Blockchain, and Cognitive Computing. These highly advanced methods provide tremendous opportunities for behavior/trend based automated analysis, detection, and prevention of cyber attacks/threats. The seminar series focus on techniques developed to identify emerging cyber threats including information on newly developed malware and exploits that have not yet been deployed in a cyber-attack. The seminar series will be augmented with various data mining and machine learning techniques as they have proven to recall malicious hacking with high precision. In addition to the potential of development of concepts and whitepapers for a large-scale center, the seminar series will result in identification and recruitment of industrial, academic and/or government partnerships in support of initiatives and research and consulting collaborations as well as creation and support of resources such as research consortia, collaboration sites or social networking tools to facilitate large-scale inter-university research programs in AI and ML in cybersecurity. Copyright 2019. © by the International Institute of Informatics and Systemics. All rights reserved.","Sheybani E.; Javidi G.","0"
"Domain","Penetration Testing","Survey of protocol reverse engineering algorithms: Decomposition of tools for static traffic analysis","10.1109/COMST.2018.2867544","2019","Knowledge about a network protocol to understand the communication between entities is necessary for vulnerability research, penetration testing, malware analysis, network reconnaissance, and network modeling. Traffic analysis is one approach to infer a protocol, and this approach has specific challenges, tasks, methods, and solutions. In this survey, we collect tools presented by prior research in the field of protocol reverse engineering by static traffic trace analysis. We dissect each tool to discern the individual mechanisms and the algorithms on which they are based, then categorize and contrast the mechanisms and algorithms used in static traffic trace analysis to discuss how successfully they were applied in each case. To structure our discussion about the tools, we compared classification schemes for protocol reverse engineering. We present and discuss an explicit process model for static traffic trace analysis to reveal the common structure of the decomposed tools and frameworks from previous research. Via discussions of the algorithms applied within each tool, we show relations between tools, methods, and the process for each process task. We validate our model by applying it to each of the tools, then provide an outline of the utility of protocol reverse engineering. Beginning with the process description, we deduce which solutions and algorithms have already been investigated and where challenges remain to determine how new solutions may be researched in the future. Across the entire field of protocol reverse engineering, few implementations of tools and frameworks are publicly available, which remains a prevalent problem. © 2018 IEEE.","Kleber S.; Maile L.; Kargl F.","45"
"Domain","Performance Optimization","GPU taint tracking","","2019","Dynamic tainting tracks the influence of certain inputs (taint sources) through execution and it is a powerful tool for information flow analysis and security. Taint tracking has primarily targeted CPU program executions. Motivated by recent recognition of information leaking in GPU memory and GPU-resident malware, this paper presents the first design and prototype implementation of a taint tracking system on GPUs. Our design combines a static binary instrumentation with dynamic tainting at runtime. We present new performance optimizations by exploiting unique GPU characteristics-a large portion of instructions on GPU runtime parameters and constant memory can be safely eliminated from taint tracking; large GPU register file allows fast maintenance of a hot portion of the taint map. Experiments show that these techniques improved the GPU taint tracking performance by 5 to 20 times for a range of image processing, data encryption, and deep learning applications. We further demonstrate that GPU taint tracking can enable zeroing sensitive data to minimize information leaking as well as identifying and countering GPU-resident malware. © USENIX Annual Technical Conference, USENIX ATC 2017. All rights reserved.","Hayes A.B.; Li L.; He J.; Zhang E.Z.; Hedayati M.; Shen K.","6"
"Domain","Cyber Kill Chain","A layered security architecture based on cyber kill chain against advanced persistent threats","10.1049/PBPC028E_ch7","2019","Inherently, static traditional defense mechanisms which mostly act successfully in detecting known attacks using techniques such as blacklisting and malware signature detection are insufficient in defending against dynamic and sophisticated advanced persistent threat (APT) cyberattacks. These attacks are usually conducted dynamically in several stages and may use different attack paths simultaneously to accomplish their commission. Cyber kill chain (CKC) framework provides a model for all stages of an intrusion from early reconnaissance to actions on objectives when the attacker’s goal is met which could be stealing data, disrupting operations or destroying infrastructure. Achieving the final goal, an adversary must progress all stages successfully. Any disruption at any stage of the attack by the defender would mitigate or cease the intrusion campaign. In this chapter, we align 7D defense model with CKC steps to develop a layered architecture to detected APT actors tactics, techniques and procedures in each step of CKC. This model can be applied by defenders to plan resilient defense and mitigation strategies against prospective APT actors. © The Institution of Engineering and Technology 2019.","Bahrami P.N.; Dehghantanha A.; Dargahi T.; Parizi R.M.; Choo K.-K.R.; Javadi H.H.S.","0"
"Domain","Monitoring and Alerting","Research on key technology of enterprise private cloud anti-leakage","10.1109/ICICAS48597.2019.00178","2019","With the rapid development of Internet and cloud computing technology, more and more enterprises use private cloud for collaborative work. Important data protection has become the focus of enterprise security protection. Based on the need of data anti-leakage, content monitoring and filtering security techniques were studied. And the private cloud anti-leakage prototype system was realized, which provided real-time monitoring for internal staff's intentional or unintentional leakages and the leakages caused by the implantation of malicious code from external attackers. When sending files containing pre-set sensitive words, the system will remind the user and inform the administrator. The received document is embedded with executable script code or the document itself is binary code, and dynamic and static combination detection will be performed. If the document includes malicious code, then warning information will timely feedback to the administrator to strengthen the enterprise information security management. © 2019 IEEE.","Chen Z.; Wang J.; Yang Y.; Yang G.; Wen L.; Chen L.","1"
"Domain","Healthcare Security","SOFTWARE ENGINEERING ARTIFICIAL INTELLIGENCE, COMPLIANCE, AND SECURITY","","2020","Information security is important in every aspect of daily life. This book examines four areas where risks are present: artificial intelligence (AI), the internet of things (IoT), government and malware. The authors channel their experience and research into an accessible body of knowledge for consideration by professionals. AI is introduced as a tool for healthcare, security and innovation. The advantages of using AI in new industries are highlighted in the context of recent developments in mechanical engineering, and a survey of AI software risks is presented focusing on well-publicized failures and US FDA regulatory guidelines. The risks associated with the billions of devices that form the IoT grow with the availability of such devices in consumer products, healthcare, energy infrastructure and transportation. The risks, software engineering risk mitigation methods and standards promoting a level of care for the manufacture of IoT devices are examined because of their importance for software developers. Strategic insights for software developers looking to do business with the US federal government are presented, considering threats to both public and private sectors as well as governmental priorities from recent executive and legislative branch actions. Finally, an analysis of malicious software that infects numerous computer systems each day and causes millions of dollars in damages every year is presented. Malicious software, or ""malware,"" is software designed with hostile intent, but the damage may be mitigated with static and dynamic analyses, which are processes for studying how malware operates and analyzing potential impacts. © 2021 by Nova Science Publishers, Inc. All rights reserved.","D’Andrade B.","0"
"Domain","Software as a Service","District Ransomware: Static and Dynamic Analysis","10.1109/ISDFS49300.2020.9116451","2020","Ransomware is one of the fastest growing threats to internet security. New Ransomware attacks happen around the globe, on a weekly basis. These attacks happen to individual users and groups, from almost any type of business. Many of these attacks involve Ransomware as a service, where one attacker creates a template Malware, which can be purchased and modified by other attackers to perform specific actions. The District Ransomware was a less well-known strain. This work focuses on statically and dynamically analyzing the District Ransomware and presenting the results. © 2020 IEEE.","Andes N.; Wei M.","1"
"Domain","Mesh Network Malware","A Malware Classification Method Based on the Capsule Network","10.1007/978-3-030-62223-7_4","2020","Malware has become a serious threat to network security. Traditional static analysis methods usually cannot effectively detect packers, obfuscations, and variants. Dynamic analysis is not efficient when dealing with large amounts of malware. Aiming at the shortcomings of the existing methods, this paper proposes a method for analyzing malware based on the capsule network. It uses a supervised learning method to train the capsule network with a large number of malware samples with existing category labels. In the process of constructing features, this paper adopts a method of combining static features and dynamic features to extract the operation code information based on static analysis, and extract the API call sequence information based on general analysis. Both characteristics can well represent the structure and behavior of malware. Then use N-Gram to construct sequence features, visualize the N-Gram sequence, generate malware images, and finally use the capsule network for classification detection. In addition, this paper improves the original capsule network and verifies the effect of the improved model. © 2020, Springer Nature Switzerland AG.","Wang Z.; Han W.; Lu Y.; Xue J.","4"
"Domain","Firmware Analysis","ISAdetect: Usable Automated Detection of CPU Architecture and Endianness for Executable Binary Files and Object Code","10.1145/3374664.3375742","2020","Static and dynamic binary analysis techniques are actively used to reverse engineer software's behavior and to detect its vulnerabilities, even when only the binary code is available for analysis. To avoid analysis errors due to misreading op-codes for a wrong CPU architecture, these analysis tools must precisely identify the Instruction Set Architecture (ISA) of the object code under analysis. The variety of CPU architectures that modern security and reverse engineering tools must support is ever increasing due to massive proliferation of IoT devices and the diversity of firmware and malware targeting those devices. Recent studies concluded that falsely identifying the binary code's ISA caused alone about 10% of failures of IoT firmware analysis. The state of the art approaches detecting ISA for executable object code look promising, and their results demonstrate effectiveness and high-performance. However, they lack the support of publicly available datasets and toolsets, which makes the evaluation, comparison, and improvement of those techniques, datasets, and machine learning models quite challenging (if not impossible). This paper bridges multiple gaps in the field of automated and precise identification of architecture and endianness of binary files and object code. We develop from scratch the toolset and datasets that are lacking in this research space. As such, we contribute a comprehensive collection of open data, open source, and open API web-services. We also attempt experiment reconstruction and cross-validation of effectiveness, efficiency, and results of the state of the art methods. When training and testing classifiers using solely code-sections from executable binary files, all our classifiers performed equally well achieving over 98% accuracy. The results are consistent and comparable with the current state of the art, hence supports the general validity of the algorithms, features, and approaches suggested in those works. © 2020 ACM.","Kairajärvi S.; Costin A.; Hämäläinen T.","4"
"Domain","Vulnerability Static Scan","Dynamic Distributed Secure Storage against Ransomware","10.1109/TCSS.2019.2924650","2020","In just a few years, ransomware evolved into one of the most pernicious threats on the web. From hijacking private disks, the cybercriminals moved to disabling hospital networks, while the cyberwarriors launched destructive cyberwar exercises masquerading as ransomware. To match the variety of attacks, there is also a variety of promising proposals for the mitigation of the ransomware problem by disrupting the attack cycle at various points. None of them seems to be eliminating the vulnerability of static nodes in dynamic networks. We put forward the idea that ransomware is a symptom of a broader problem of architectural imbalance in social computation, while the processes are dynamic and nonlocal, the storage is static and local. We study and discuss some paths toward dynamic, nonlocal, and secure storage. Furthermore, we provide a toy method for locally encrypting the data that can provide a balance of high security and encryption speed.  © 2014 IEEE.","Castiglione J.; Pavlovic D.","5"
"Domain","Code Signing Domain","Feature Extraction Approach to Unearth Domain Generating Algorithms (DGAs)","10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00077","2020","Domain name plays a crucial role today, a technique was developed to algorithmically generate do-main names (AGD) with the idea to solve the problem of designing domain names manually. Attackers deploy highly sophisticated tactics to compromise end-user systems to gain control as a target for malware to spread, as they are immune to static prevention methods like blacklisting and sinkholing. There have been multiple attempts to prevent them using lexical feature analysis, domain query responses, and some of these techniques have been really efficient as well. In this paper we propose a framework to detect Domain Generating Algorithms (DGAs) even in real network traffic, using features studied from legitimate domain names in static and real traffic, by considering feature extraction as the key of the framework we propose. The detection process consists of detection, prediction and classification attaining a maximum accuracy of 99%. © 2020 IEEE.","Upadhyay S.; Ghorbani A.","6"
"Domain","Anti-Forensics Techniques","BERTDeep-Ware: A Cross-architecture Malware Detection Solution for IoT Systems","10.1109/TrustCom53373.2021.00130","2021","Malware is widely regarded as one of the most severe security threats to modern technologies. Detecting malware in the Internet of Things (IoT) infrastructures is a critical and complicated task. The complexity of this task increases with the recent growth of malware variants targeting different IoT CPU architectures since the new malware variants often use anti-forensic techniques to avoid detection and investigation. There-fore, we cannot utilize the traditional machine learning (ML) techniques that require domain knowledge and sophisticated feature engineering in detecting the unseen mal ware variants. Re-cent deep learning approaches have performed well on mal ware analysis and detection while using minimum feature engineering requirements. In this paper, we propose BERTDeep- Ware, a real-time cross-architecture malware detection solution tailored for IoT systems. BERTDeep- Ware analyzes the executable file's operation codes (OpCodes) sequence representations using Bidi-rectional Encoder Representations from Transformers (BERT) Embedding, the state-of-the-art natural language processing (NLP) approach. The extracted sentence embedding from BERT is fed into a customized hybrid multi-head CNN-BiLSTM-LocAtt model. This deep learning (DL) model combines the convolutional neural network (CNN), bidirectional long short-term memory (BiLSTM), and the local attention mechanisms (locAtt) to capture conual features and long-term dependencies between OpCode sequences. We train and evaluate BERTDeep- Ware using the datasets created for three different CPU architectures. The performance evaluation results confirm that the proposed multi-head CNN-BiLSTM-LocAtt model produces more accurate classification results with higher detection rates and lower false positives than a number of baseline ML and DL models.  © 2021 IEEE.","Hamad S.A.; Tran D.H.; Sheng Q.Z.; Zhang W.E.","10"
"Domain","Machine Learning Applications","A panoramic view of cyber attack detection and prevention using machine learning and deep learning approaches","10.1201/9781003119838-4","2021","A set of code or a software designed in such a way to cause damage to a computer, server, mobile phones, or computer network is known as malware. Malicious software is a malware that exploits the cyber world and causes huge losses. Cyber attacks are increasing day by day and have become a great threat to the digital world. A recent survey says that there will be a malware (Ransomware) attack every 11 seconds by 2021 and by that time, global costs will be around $20 billion yearly. And also, every year, Ransomware generates an estimated $1 billion in revenue for cybercriminals. Various types of malware may cause serious threats to the digital world. Largely, malware is identified using signatures of the previously attacked malware even when the attackers try to create new malware that doesn’t fall under this signature. In such a scenario, it is necessary to develop a malware detection and a prevention system. The existing machine learning applications to provide solutions to problems of cyber security had a substantial impact and hence, it’s critical to explore the novel deep learning approaches toward protecting the information in the field of cyber security. The deep learning approaches are currently used in a widespread manner for cyber security applications. This chapter aims to review the deep learning architectures suitable for malware detection and prevention for cyber security applications. The categories of malware based on the functionality and attack patterns are termed virus, Trojan, backdoor, adware, botnet, root kit, and dropper. This chapter’s objective is to understand the working of malware and to detect and eliminate it using machine learning and deep learning approaches. The classification of malware analysis falls under categories such as static analysis, dynamic analysis, code analysis, and memory analysis. Detection of malware based on windows operating system, Android Operating system, and Ransomware is studied and its future direction is analyzed. To prevent this type of malware, traditional Machine Learning (ML)-based classification algorithms such a Support Vector Machine (SVM), Random Forest (RF), Naive Bayes (NB), Decision Tree (DT), Logistic regression (LR), and AdaBoost can be used to efficiently detect the malware. Feature extraction is an important feature that requires prior knowledge of the application and hence neural network-based machine learning techniques are utilized that improves the performance of the classifiers used. These soft computing techniques can be utilized when the features are known in advance and these features are not changed frequently so that the classifications can be more accurate. But when the features cannot be predicted due to insufficient domain knowledge and also the data are too large to analyze, then the deep learning approaches become critical. As the initial level of deep learning architecture Multilayer perceptron (MLP), the neural network can be incorporated when the features for an application are known and can be categorized for analysis. The time-series data utilize long short-term memory (LSTM) and Gated Recurrent Unit (GRU) for improved classification accuracy. © 2022 Taylor & Francis Group, LLC.","Daniel E.; Susila N.; Durga S.","2"
"Domain","Version Control","Impact of Running Dynamic/Static Scans on the Performance of an App Running in a GKE Clusters","10.1109/IDSTA53674.2021.9660814","2021","The IT world we live in today, are prone to ransomware attacks or hijacking of applications due to vulnerability and stealing vital data has become a norm, so to say our IT resources are vulnerable. The scanning of the applications, data, the IT infrastructure which houses them is become paramount. Data and/or Applications stored/running in a dormant/active state in a GitHub repository, centralized version control system (CVCS), or whether it is running as a service such as Website, Representational State Transfer (REST) [1], having an API Gateway accessing the critical data [2]., etc are more vulnerable to attacks than before. Modern techniques of a CI/CD process where data is pulled, compiled and brings the application/data alive has to be continuously monitored and checked for vulnerabilities without compromising the responsiveness of the application. This study is an effort to show that the static/dynamic scanning of applications/data in both dormant/running state of an application does not affect the performance of the application or access of critical data using the REST/Web Service Definition Language, or WUSDL (Web Services Description Language). In this study, the applications/data were deployed in a GKE (Google Cloud Kubernetes environment ) and were scanned using an industry-standard scanning tool viz Prisma Compute®. The performance of the application/data access using REST and or WUSDL was computed using the TCP/IP handshake delta time. These delta time were statistically analyzed by using Test of Hypothesis/Analysis of variance (ANOVA) [3] and K-Means [4] to determine if the delta in TCP/IP 3-way handshake is significantly different when the application is in an idle state ( no user traffic being processed), and in a static/dynamic scan mode using the Prisma Compute® tool when the user traffic is introduced. Based on the tests conducted, we found that there is not a significant difference in running dynamic or static scans on the application or the data and its impact is not statistically significant to the performance. This paper presents the case study which details the application/data test setup in the GKE environment, tests ran, statistical analysis conducted on the data obtained and the preliminary results.  © 2021 IEEE.","Athamnah M.; Hussain M.F.; Hasan S.S.","3"
"Domain","Infrastructure as a Service","A dynamic malware detection in cloud platform","10.37622/IJDE/15.2.2020.243-258","2021","Cloud computing not only provides high availability on elastic resources, scalable, and cost-efficient. The platform is also widely used in information technology (IT) to support technology infrastructure and services. However, due to the complex environment and scalability of services, one of the highest security issues is malware attacks, where some of the antivirus scanner unable to detect metamorphic malware or encrypted malware where these kinds of malware able to bypass some traditional protection solution. This is why a high recognition rate and good precision detection are important to eliminate a high false-positive rate. Machine Learning (ML) classifiers are a critical role in artificial intelligent-system. However, machine learning will require to learn from the high amplitude of input data; classify then only able to generate a reliable model with a high detection rate. The objective of this work is to study and performs detection based on dynamic malware analysis and classification is through the WEKA classifier and Random Forest Jupyter Notebook. There are three classifiers chosen in this work, which are Random Forest, J-48, and Naive Bayes with 10-folds validation from the WEKA tool and another additional classifier from Random Forest - Jupyter Notebook to substantiate the accuracy. © Research India Publications","Fui N.L.Y.; Asmawi A.; Hussin M.","7"
